platform,element_name,node_id,description,type
wechat,title,10:1,主标题区域,TEXT
wechat,subtitle,10:2,副标题/日期区域,TEXT
wechat,content,10:3,正文内容区域,FRAME
wechat,data_card_1,10:4,数据卡片1（左侧）,FRAME
wechat,data_card_2,10:5,数据卡片2（右侧）,FRAME
wechat,key_points,10:6,关键点列表区域,FRAME
wechat,recommendations,10:7,建议区域,TEXT
wechat,qrcode,10:8,二维码占位区域,RECTANGLE
xiaohongshu,cover,1:1,封面大图区域,RECTANGLE
xiaohongshu,title,1:2,标题区域,TEXT
xiaohongshu,key_data,1:3,关键数据区域,FRAME
xiaohongshu,core_points,1:4,核心要点区域,FRAME
xiaohongshu,recommendations,1:5,投资建议区域,TEXT
xiaohongshu,tags,1:6,标签区域,TEXT
xiaohongshu,profile,1:7,个人资料区域,FRAME
weibo,headline,2:1,主标题区域,TEXT
weibo,date,2:2,日期区域,TEXT
weibo,trend_1,2:3,趋势卡片1,FRAME
weibo,trend_2,2:4,趋势卡片2,FRAME
weibo,trend_3,2:5,趋势卡片3,FRAME
weibo,key_stats,2:6,关键数据区域,TEXT
weibo,core_viewpoints,2:7,核心观点区域,TEXT
weibo,tomorrow_focus,2:8,明日关注区域,TEXT
weibo,hashtags,2:9,话题标签区域,TEXT
weibo,qrcode,2:10,二维码区域,RECTANGLE
